"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1015","1.1400032652267622E+0","-4.7934479054757408E-29","-2.7456197876308793E-33","-7.5868483926272887E-16","8.1145502416057738E-2","5.3984107863773225E-33","3.1675246521075699E+0","3.3822329889572367E+0","1.4992267942658094E+1","6.9747752824249699E+2","1.215058560962404E-2"
"1014","1.1395533424831656E+0","2.7910331175969761E-28","-3.8258109339602498E-33","5.8622871626565662E-16","8.3382617301966791E-2","5.6401747095109424E-33","3.1672745357698902E+0","3.3827300852035407E+0","1.4994471398227892E+1","6.9592089202999705E+2","1.215058560962404E-2"
"1013","1.1391019093690198E+0","9.5160731441378370E-28","4.8856719054921489E-33","-5.4176188921216146E-16","8.5623313487735025E-2","-4.8212313051800711E-33","3.1670179581700602E+0","3.3832414222087981E+0","1.4996737978152117E+1","6.9432659708124902E+2","1.215058560962404E-2"
"1012","1.1386489740736943E+0","9.4518704707002329E-29","4.3105260295218201E-33","8.0788763250052679E-16","8.7867596795066949E-2","-2.9392942368723594E-33","3.1667549319059898E+0","3.3837670865707499E+0","1.4999068066288569E+1","6.9269491476743895E+2","1.215058560962404E-2"
"1011","1.1381945449947526E+0","-3.8153975527672616E-28","-2.0325619756862026E-33","-1.0586641549649830E-15","9.0115472831877055E-2","3.1723301144511237E-33","3.1664854700567600E+0","3.3843071670613876E+0","1.5001462056132759E+1","6.9102612343584201E+2","1.215058560962404E-2"
"1010","1.1377386307387436E+0","2.0607726822440019E-29","-5.3427863936964118E-33","9.2550099255827549E-17","9.2366946997066837E-2","5.0486541972336591E-33","3.1662095861892401E+0","3.3848617546288651E+0","1.5003920350826364E+1","6.8932050847986000E+2","1.215058560962404E-2"
"1009","1.1372812401219399E+0","-4.4694726368626776E-28","4.0297562650920396E-34","2.8254294942678384E-15","9.4622024485495129E-2","4.4711397001464233E-35","3.1659272943644901E+0","3.3854309423998723E+0","1.5006443363167760E+1","6.8757836225297797E+2","1.215058560962404E-2"
"1008","1.1368223821709964E+0","5.5426659999641171E-28","-2.9050226990741356E-33","3.3273862152877904E-15","9.6880710293152053E-2","2.9645321005845139E-33","3.1656386091440698E+0","3.3860148256818983E+0","1.5009031515622057E+1","6.8579998402030105E+2","1.215058560962404E-2"
"1007","1.1363620661235780E+0","-1.1277302914998240E-28","-2.8480876301920581E-33","6.9739913826965334E-16","9.9143009222524697E-2","1.1780951320734818E-33","3.1653435455960999E+0","3.3866135019660080E+0","1.5011685240333394E+1","6.8398567992725702E+2","1.215058560962404E-2"
"1006","1.1359003014288964E+0","1.2760260601481139E-28","4.5564276927703344E-33","4.5349889324874269E-15","1.0140892588814777E-1","-2.7801352405068987E-33","3.1650421193012601E+0","3.3872270709302037E+0","1.5014404979139842E+1","6.8213576292212497E+2","1.215058560962404E-2"
"1005","1.1354370977481922E+0","2.9957399257683188E-28","-7.5334024010583022E-33","4.0303168266729170E-15","1.0367846472235485E-1","8.7555756325517427E-33","3.1647343463585100E+0","3.3878556344419297E+0","1.5017191183584522E+1","6.8025055276806199E+2","1.215058560962404E-2"
